Chromosome,Start,End,cM,strand GRCm39,MGI ID,Feature Type,Symbol,Name
2,134628084,135317178,65.66,+,MGI:97613,protein coding gene,Plcb1,"phospholipase C, beta 1"
1,163875773,163885246,71.35,+,MGI:98278,protein coding gene,Sele,"selectin, endothelial cell"
16,4904155,4950285,2.5,-,MGI:1194898,protein coding gene,Ppl,periplakin
8,71950409,71964396,34.43,-,MGI:1890497,protein coding gene,Plvap,plasmalemma vesicle associated protein
14,44160355,44161053,22.51,-,MGI:1890464,protein coding gene,Ear10,"eosinophil-associated, ribonuclease A family, member 10"
14,51492719,51493569,26.44,-,MGI:1890465,protein coding gene,Rnase2a,"ribonuclease, RNase A family, 2A (liver, eosinophil-derived neurotoxin)"
14,52091225,52092100,26.7,+,MGI:1890463,protein coding gene,Ear6,"eosinophil-associated, ribonuclease A family, member 6"
14,51399717,51400475,26.4,+,MGI:1858598,protein coding gene,Rnase2b,"ribonuclease, RNase A family, 2B (liver, eosinophil-derived neurotoxin)"
19,10766705,10807422,7.16,-,MGI:103566,protein coding gene,Cd6,CD6 antigen
11,81948658,81953781,49.84,+,MGI:103576,protein coding gene,Ccl11,C-C motif chemokine ligand 11
10,79500393,79504371,39.72,+,MGI:103579,protein coding gene,Madcam1,mucosal vascular addressin cell adhesion molecule 1
8,19073423,19076582,10.35,-,MGI:2672972,protein coding gene,Defb38,defensin beta 38
8,19102842,19114826,10.35,-,MGI:2672974,protein coding gene,Defb39,defensin beta 39
8,19024930,19028237,10.35,-,MGI:2672976,protein coding gene,Defb40,defensin beta 40
2,150412335,150420864,74.67,+,MGI:1298217,protein coding gene,Cst7,cystatin F (leukocystatin)
8,95472312,95478016,46.75,+,MGI:1306779,protein coding gene,Ccl22,C-C motif chemokine ligand 22
8,95537081,95538664,46.85,+,MGI:1329039,protein coding gene,Ccl17,C-C motif chemokine ligand 17
11,82006011,82007625,49.91,+,MGI:101878,protein coding gene,Ccl8,C-C motif chemokine ligand 8
17,46753374,46798601,22.9,-,MGI:2147036,protein coding gene,Ttbk1,tau tubulin kinase 1
7,110449814,110462160,57.89,-,MGI:2136348,protein coding gene,Lyve1,lymphatic vessel endothelial hyaluronan receptor 1
X,70463666,70536455,36.82,-,MGI:2177151,protein coding gene,Cd99l2,CD99 antigen-like 2
9,7558457,7568486,2.46,+,MGI:1202395,protein coding gene,Mmp8,matrix metallopeptidase 8
11,116111385,116128903,81.02,-,MGI:107507,protein coding gene,Evpl,envoplakin
14,44340111,44340988,22.53,+,MGI:108020,protein coding gene,Ear2,"eosinophil-associated, ribonuclease A family, member 2"
14,44056222,44057096,22.51,-,MGI:108021,protein coding gene,Ear1,"eosinophil-associated, ribonuclease A family, member 1"
14,,,,,MGI:1858237,protein coding gene,Ear3,"eosinophil-associated, ribonuclease A family, member 3"
14,51441154,51441613,,,MGI:1858238,protein coding gene,Ear4,"eosinophil-associated, ribonuclease A family, member 4"
14,51441152,51441613,26.42,+,MGI:3528616,protein coding gene,Ear14,"eosinophil-associated, ribonuclease A family, member 14"
15,91557378,91700323,46.07,+,MGI:1913975,protein coding gene,Lrrk2,leucine-rich repeat kinase 2
10,24745889,24789358,,+,MGI:1917458,protein coding gene,Med23,mediator complex subunit 23
9,6168584,6378850,2.46,+,MGI:1919035,protein coding gene,Pdgfd,"platelet-derived growth factor, D polypeptide"
16,31115010,31133626,21.41,-,MGI:88056,protein coding gene,Apod,apolipoprotein D
2,153984800,153991137,76.15,+,MGI:1338036,protein coding gene,Bpifa1,"BPI fold containing family A, member 1"
3,90576378,90577341,39.9,+,MGI:88244,protein coding gene,S100a8,S100 calcium binding protein A8 (calgranulin A)
5,122845607,122867801,62.53,+,MGI:1338859,protein coding gene,P2rx4,"purinergic receptor P2X, ligand-gated ion channel 4"
13,114969617,115068636,64.61,-,MGI:96600,protein coding gene,Itga2,integrin alpha 2
11,102344123,102360709,66.29,-,MGI:96601,protein coding gene,Itga2b,integrin alpha 2b
9,21634872,21661215,7.87,+,MGI:96765,protein coding gene,Ldlr,low density lipoprotein receptor
2,128540876,128644814,62.63,+,MGI:96965,protein coding gene,Mertk,MER proto-oncogene tyrosine kinase
1,174000342,174076016,80.97,+,MGI:98385,protein coding gene,Spta1,"spectrin alpha, erythrocytic 1"
19,46292759,46300824,38.8,+,MGI:1099800,protein coding gene,Nfkb2,"nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100"
13,118851199,118928651,67.14,+,MGI:1099809,protein coding gene,Fgf10,fibroblast growth factor 10
19,6821991,6835579,5.08,-,MGI:1925567,protein coding gene,Ccdc88b,coiled-coil domain containing 88B
5,31070746,31078621,16.9,+,MGI:1926189,protein coding gene,Emilin1,elastin microfibril interfacer 1
1,61017086,61039479,30.6,+,MGI:1858745,protein coding gene,Icos,inducible T cell co-stimulator
3,88652006,88682466,38.96,-,MGI:1859547,protein coding gene,Syt11,synaptotagmin XI
16,44586141,44615341,29.08,+,MGI:1889024,protein coding gene,Cd200r1,CD200 receptor 1
16,29883259,29886614,21.09,+,MGI:104853,protein coding gene,Hes1,hes family bHLH transcription factor 1
6,129743531,129761233,63.44,-,MGI:2685002,protein coding gene,Klrh1,"killer cell lectin-like receptor subfamily H, member 1"
4,156110779,156113351,87.76,+,MGI:894675,protein coding gene,Tnfrsf18,"tumor necrosis factor receptor superfamily, member 18"
7,80104741,80184896,45.65,-,MGI:1328362,protein coding gene,Blm,"Bloom syndrome, RecQ like helicase"
1,134126961,134163169,58.15,-,MGI:99401,protein coding gene,Adora1,adenosine A1 receptor
19,42743544,42768417,36.56,-,MGI:2177763,protein coding gene,Hps1,"HPS1, biogenesis of lysosomal organelles complex 3 subunit 1"
1,171459971,171480603,79.54,-,MGI:1922595,protein coding gene,Slamf7,SLAM family member 7
2,154004527,154010366,76.19,+,MGI:1914385,protein coding gene,Bpifa5,"BPI fold containing family A, member 5"
3,59123693,59170292,29.01,-,MGI:1918089,protein coding gene,P2ry12,"purinergic receptor P2Y, G-protein coupled 12"
3,89660755,89671939,39.19,-,MGI:87891,protein coding gene,Chrnb2,cholinergic receptor nicotinic beta 2 subunit
14,21102642,21498637,11.58,+,MGI:87930,protein coding gene,Adk,adenosine kinase
5,148264220,148336714,88.48,-,MGI:88117,protein coding gene,Slc7a1,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"
19,10695471,10716390,7.16,-,MGI:88340,protein coding gene,Cd5,CD5 antigen
6,18170686,18322767,8.1,+,MGI:88388,protein coding gene,Cftr,cystic fibrosis transmembrane conductance regulator
5,137481282,137484078,76.5,-,MGI:95407,protein coding gene,Epo,erythropoietin
1,71624679,71692359,36.05,-,MGI:95566,protein coding gene,Fn1,fibronectin 1
14,74992115,75185316,39.39,-,MGI:2443390,protein coding gene,Lrch1,leucine-rich repeats and calponin homology (CH) domain containing 1
17,32609633,32622557,17.55,-,MGI:2444128,protein coding gene,Rasal3,RAS protein activator like 3
11,5048926,5056093,3.26,+,MGI:2444684,protein coding gene,Rhbdd3,rhomboid domain containing 3
3,15436887,15491487,3.59,-,MGI:2444824,protein coding gene,Sirpb1a,signal-regulatory protein beta 1A
3,122522822,122653023,53.69,+,MGI:2651499,protein coding gene,Pde5a,"phosphodiesterase 5A, cGMP-specific"
11,46498599,46520088,28.02,-,MGI:2157522,protein coding gene,Dppa1,developmental pluripotency associated 1
3,96011839,96068446,41.65,+,MGI:2654703,protein coding gene,Otud7b,OTU domain containing 7B
5,139994444,140307307,78.82,-,MGI:1341857,protein coding gene,Mad1l1,MAD1 mitotic arrest deficient 1-like 1
4,138605253,138610125,70.57,+,MGI:1349660,protein coding gene,Pla2g2e,"phospholipase A2, group IIE"
7,142558644,142573223,88.09,+,MGI:1350360,protein coding gene,Tspan32,tetraspanin 32
7,44774987,44778169,29.14,-,MGI:1351455,protein coding gene,Rpl13a,ribosomal protein L13A
1,72863662,72891633,36.94,+,MGI:96437,protein coding gene,Igfbp2,insulin-like growth factor binding protein 2
8,71151599,71153265,34.15,+,MGI:96648,protein coding gene,Jund,jun D proto-oncogene
2,26347914,26393834,18.91,-,MGI:97363,protein coding gene,Notch1,notch 1
11,83553410,83555509,51.09,+,MGI:98261,protein coding gene,Ccl4,C-C motif chemokine ligand 4
11,83478712,83483913,50.85,-,MGI:98263,protein coding gene,Ccl6,C-C motif chemokine ligand 6
8,11034681,11058458,5.35,-,MGI:109334,protein coding gene,Irs2,insulin receptor substrate 2
11,102239646,102256107,66.29,-,MGI:109393,protein coding gene,Slc4a1,"solute carrier family 4 (anion exchanger), member 1"
5,137348371,137372784,76.38,+,MGI:104757,protein coding gene,Ephb4,Eph receptor B4
8,8667434,8711242,3.42,-,MGI:105097,protein coding gene,Efnb2,ephrin B2
X,98179736,98192597,43.22,+,MGI:102708,protein coding gene,Efnb1,ephrin B1
11,69444918,69451031,42.8,-,MGI:109196,protein coding gene,Efnb3,ephrin B3
17,35404071,35407415,18.59,-,MGI:1096324,protein coding gene,Lst1,leukocyte specific transcript 1
13,41916621,42001092,20.61,-,MGI:1924596,protein coding gene,Adtrp,androgen dependent TFPI regulating protein
2,60040086,60079555,34.46,+,MGI:1931053,protein coding gene,Marchf7,membrane associated ring-CH-type finger 7
17,34062065,34068748,17.98,+,MGI:1860083,protein coding gene,Cd320,CD320 antigen
X,158409888,158758916,73.65,+,MGI:1889583,protein coding gene,Sh3kbp1,SH3-domain kinase binding protein 1
2,122580423,122591395,60.66,+,MGI:1927580,protein coding gene,Bloc1s6,"biogenesis of lysosomal organelles complex-1, subunit 6, pallidin"
4,,,22.54,,MGI:1891386,protein coding gene,Ccl21c,C-C motif chemokine ligand 21C (leucine)
17,48047962,48103341,23.99,+,MGI:103270,protein coding gene,Tfeb,transcription factor EB
17,29309953,29319696,15.12,+,MGI:104556,protein coding gene,Cdkn1a,cyclin dependent kinase inhibitor 1A
5,149537752,149559841,89.18,-,MGI:105053,protein coding gene,Hsph1,heat shock 105kDa/110kDa protein 1
10,79824434,79831234,39.72,+,MGI:105093,protein coding gene,Cnn2,calponin 2
11,72342464,72380730,44.31,-,MGI:2384936,protein coding gene,Spns2,"SPNS lysolipid transporter 2, sphingosine-1-phosphate"
7,19239708,19242295,9.92,-,MGI:2678952,protein coding gene,Bloc1s3,"biogenesis of lysosomal organelles complex-1, subunit 3"
8,85798386,85801791,41.55,+,MGI:2683592,protein coding gene,Dhps,deoxyhypusine synthase
6,24613804,24665008,11.28,-,MGI:1920428,protein coding gene,Wasl,WASP like actin nucleation promoting factor
17,31360036,31363256,15.8,-,MGI:1306805,protein coding gene,Tff2,trefoil factor 2 (spasmolytic protein 1)
1,43484643,43609678,23.18,+,MGI:1306821,protein coding gene,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2
10,75152711,75170618,38.52,+,MGI:99402,protein coding gene,Adora2a,adenosine A2a receptor
7,119061931,119078485,63.88,-,MGI:102674,protein coding gene,Umod,uromodulin
12,61569936,61905128,26.43,+,MGI:2144814,protein coding gene,Lrfn5,leucine rich repeat and fibronectin type III domain containing 5
11,46630644,46670405,28.08,+,MGI:2159680,protein coding gene,Havcr1,hepatitis A virus cellular receptor 1
11,46559787,46597888,28.05,-,MGI:2159681,protein coding gene,Timd2,T cell immunoglobulin and mucin domain containing 2
11,77928757,77951260,46.74,+,MGI:103309,protein coding gene,Flot2,flotillin 2
6,60708559,60806839,29.15,-,MGI:1277151,protein coding gene,Snca,"synuclein, alpha"
8,47070326,47092724,26.39,+,MGI:107739,protein coding gene,Casp3,caspase 3
11,46462363,46480059,28,+,MGI:3039605,protein coding gene,Timd6,T cell immunoglobulin and mucin domain containing 6
19,9061006,9065320,6.05,-,MGI:98919,protein coding gene,Scgb1a1,"secretoglobin, family 1A, member 1"
11,59138859,59181578,37.17,-,MGI:98956,protein coding gene,Wnt3a,"wingless-type MMTV integration site family, member 3A"
3,90683126,90685187,40.03,-,MGI:3645655,protein coding gene,Gm5849,predicted gene 5849
5,135589302,135592423,75.27,-,MGI:3589281,protein coding gene,Ccl26,C-C motif chemokine ligand 26
2,164733802,164753677,85.27,-,MGI:2682313,protein coding gene,Zfp335,zinc finger protein 335
11,46415078,46428983,27.98,+,MGI:3650838,protein coding gene,Timd5,T cell immunoglobulin and mucin domain containing 5
3,145855588,145901268,71.03,+,MGI:1915529,protein coding gene,Mcoln2,mucolipin 2
3,16001035,16060535,3.91,-,MGI:3779469,protein coding gene,Gm5150,predicted gene 5150
3,15560814,15640127,3.67,-,MGI:3779828,protein coding gene,Sirpb1b,signal-regulatory protein beta 1B
3,15361611,15397362,3.55,-,MGI:3780136,protein coding gene,Sirpd,signal regulatory protein delta
3,15849311,15902694,3.81,-,MGI:3807521,protein coding gene,Sirpb1c,signal-regulatory protein beta 1C
6,116387038,116438139,53.79,-,MGI:87999,protein coding gene,Alox5,arachidonate 5-lipoxygenase
7,98138515,98151038,53.86,+,MGI:93882,protein coding gene,Lrrc32,leucine rich repeat containing 32
6,125138812,125143450,59.32,-,MGI:95640,protein coding gene,Gapdh,glyceraldehyde-3-phosphate dehydrogenase
14,67982717,67986889,34.66,+,MGI:95789,protein coding gene,Gnrh1,gonadotropin releasing hormone 1
3,88857929,88986682,39.01,+,MGI:2183158,protein coding gene,Ash1l,ASH1 like histone lysine methyltransferase
2,3425168,3465167,1.93,+,MGI:2441769,protein coding gene,Dclre1c,DNA cross-link repair 1C
3,135759124,136031827,63.04,-,MGI:2442120,protein coding gene,Bank1,B cell scaffold protein with ankyrin repeats 1
19,3459915,3464544,3.16,-,MGI:95637,protein coding gene,Gal,galanin and GMAP prepropeptide
2,164266167,164285512,85.16,-,MGI:1349164,protein coding gene,Sdc4,syndecan 4
6,123099627,123119891,58.18,+,MGI:1349412,protein coding gene,Clec4a2,"C-type lectin domain family 4, member a2"
5,88667663,88675667,43.7,-,MGI:96493,protein coding gene,Jchain,immunoglobulin joining chain
9,72569628,72657134,40.08,+,MGI:97297,protein coding gene,Nedd4,"neural precursor cell expressed, developmentally down-regulated 4"
12,27384263,27392573,9.95,-,MGI:98359,protein coding gene,Sox11,SRY (sex determining region Y)-box 11
1,166081708,166144392,73.61,+,MGI:1196370,protein coding gene,Ildr2,immunoglobulin-like domain containing receptor 2
2,59314997,59335364,33.81,+,MGI:1923997,protein coding gene,Dapl1,death associated protein-like 1
18,88883293,88912623,58.66,-,MGI:1924885,protein coding gene,Socs6,suppressor of cytokine signaling 6
11,70345215,70350810,42.99,-,MGI:1932682,protein coding gene,Cxcl16,C-X-C motif chemokine ligand 16
6,49013449,49044413,23.82,+,MGI:1934765,protein coding gene,Gpnmb,glycoprotein (transmembrane) nmb
17,66230060,66258198,35.26,-,MGI:2137520,protein coding gene,Twsg1,twisted gastrulation BMP signaling modulator 1
5,90916377,90917922,44.78,+,MGI:1888712,protein coding gene,Ppbp,pro-platelet basic protein
1,131104147,131172915,56.91,-,MGI:1926375,protein coding gene,Rassf5,Ras association (RalGDS/AF-6) domain family member 5
1,52158599,52201024,26.81,+,MGI:103063,protein coding gene,Stat1,signal transducer and activator of transcription 1
11,109540231,109560482,72.33,+,MGI:104878,protein coding gene,Prkar1a,"protein kinase, cAMP dependent regulatory, type I, alpha"
4,137047007,137085031,69.83,-,MGI:106211,protein coding gene,Cdc42,cell division cycle 42
19,4234356,4241194,3.88,-,MGI:1922072,protein coding gene,Tbc1d10c,"TBC1 domain family, member 10c"
3,82933460,82940934,36.96,+,MGI:1316726,protein coding gene,Fga,fibrinogen alpha chain
3,82949553,82957170,36.98,-,MGI:99501,protein coding gene,Fgb,fibrinogen beta chain
17,24814790,24851604,12.41,-,MGI:102548,protein coding gene,Tsc2,TSC complex subunit 2
15,75919011,75941633,35.29,-,MGI:2145950,protein coding gene,Scrib,scribbled planar cell polarity
14,99336860,99491929,49.27,+,MGI:1261910,protein coding gene,Pibf1,progesterone immunomodulatory binding factor 1
10,7708234,7746160,2.44,+,MGI:3045313,protein coding gene,Zc3h12d,zinc finger CCCH type containing 12D
16,43469230,43484509,28.44,-,MGI:3642260,protein coding gene,Tigit,T cell immunoreceptor with Ig and ITIM domains
17,43671342,43770448,19.73,+,MGI:2182928,protein coding gene,Adgrf5,adhesion G protein-coupled receptor F5
8,76131965,76133165,35.65,-,MGI:3708786,protein coding gene,Gapdhrt2,"glyceraldehyde-3-phosphate dehydrogenase, retrotransposed 2"
5,107696833,107745754,52.23,-,MGI:2141180,protein coding gene,Glmn,"glomulin, FKBP associated protein"
14,24184021,24295988,14.26,-,MGI:1918478,protein coding gene,Dlg5,discs large MAGUK scaffold protein 5
14,11187822,11189022,6.33,+,MGI:3782011,protein coding gene,Gapdhrt,"glyceraldehyde-3-phosphate dehydrogenase, retrotransposed"
7,19430034,19433113,9.94,-,MGI:88057,protein coding gene,Apoe,apolipoprotein E
11,69555039,69556979,42.86,-,MGI:88342,protein coding gene,Cd68,CD68 antigen
3,82915031,82922356,36.94,+,MGI:95526,protein coding gene,Fgg,fibrinogen gamma chain
2,35146392,35197904,23.5,+,MGI:95851,protein coding gene,Gsn,gelsolin
14,26381113,26390823,16.09,-,MGI:2443226,protein coding gene,Pde12,phosphodiesterase 12
7,3612812,3619156,2.08,-,MGI:2179720,protein coding gene,Oscar,osteoclast associated receptor
4,107659337,107734037,50.18,+,MGI:1340044,protein coding gene,Lrp8,"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor"
17,37504783,37506986,19.16,+,MGI:1344410,protein coding gene,Ubd,ubiquitin D
4,101009564,101122479,46.19,-,MGI:96628,protein coding gene,Jak1,Janus kinase 1
2,75505857,75534985,44.75,-,MGI:108420,protein coding gene,Nfe2l2,"nuclear factor, erythroid derived 2, like 2"
4,32238804,32586108,14.02,+,MGI:894679,protein coding gene,Bach2,"BTB and CNC homology, basic leucine zipper transcription factor 2"
8,87567764,87612489,42.1,-,MGI:2136825,protein coding gene,N4bp1,NEDD4 binding protein 1
4,43482083,43483709,23.04,-,MGI:1889342,protein coding gene,Sit1,suppression inducing transmembrane adaptor 1
8,88999031,89056590,43.06,+,MGI:102891,protein coding gene,Adcy7,adenylate cyclase 7
9,98920455,99022264,51.41,-,MGI:1922019,protein coding gene,Pik3cb,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"
7,101664092,101667897,54.71,-,MGI:1333800,protein coding gene,Il18bp,interleukin 18 binding protein
19,34451183,34452548,29.69,-,MGI:1333869,protein coding gene,Ch25h,cholesterol 25-hydroxylase
6,47507073,47572275,22.92,-,MGI:107940,protein coding gene,Ezh2,enhancer of zeste 2 polycomb repressive complex 2 subunit
10,93667417,93693950,48.67,+,MGI:3045318,protein coding gene,Usp44,ubiquitin specific peptidase 44
11,52143198,52174158,31.86,-,MGI:98507,protein coding gene,Tcf7,"transcription factor 7, T cell specific"
X,7628799,7641441,3.5,+,MGI:98511,protein coding gene,Tfe3,transcription factor E3
13,33026075,33035168,13.75,-,MGI:1913472,protein coding gene,Serpinb1a,"serine (or cysteine) peptidase inhibitor, clade B, member 1a"
2,157579321,157733534,78.4,+,MGI:1913892,protein coding gene,Ctnnbl1,"catenin, beta like 1"
11,120236513,120239321,84.07,-,MGI:87906,protein coding gene,Actg1,"actin, gamma, cytoplasmic 1"
14,51328607,51339462,26.37,+,MGI:88022,protein coding gene,Ang,"angiogenin, ribonuclease, RNase A family, 5"
12,100165694,100176073,50.43,+,MGI:88251,protein coding gene,Calm1,calmodulin 1
18,61058704,61121224,34.41,+,MGI:88256,protein coding gene,Camk2a,calcium/calmodulin-dependent protein kinase II alpha
18,33067984,33324281,18.15,+,MGI:88258,protein coding gene,Camk4,calcium/calmodulin-dependent protein kinase IV
14,14518185,14651816,4.59,-,MGI:2446089,protein coding gene,Flnb,"filamin, beta"
14,57762234,57780623,30.1,+,MGI:2446510,protein coding gene,Il17d,interleukin 17D
14,52001349,52011047,26.66,-,MGI:2656551,protein coding gene,Ang4,"angiogenin, ribonuclease A family, member 4"
5,90942393,90950926,44.78,+,MGI:1339941,protein coding gene,Cxcl15,C-X-C motif chemokine ligand 15
5,91051758,91053797,44.78,+,MGI:1340094,protein coding gene,Cxcl2,C-X-C motif chemokine ligand 2
11,90367318,90528910,55.04,-,MGI:1342296,protein coding gene,Stxbp4,syntaxin binding protein 4
5,92469206,92475938,46.51,-,MGI:1352449,protein coding gene,Cxcl9,C-X-C motif chemokine ligand 9
10,127374030,127457017,74.52,-,MGI:96828,protein coding gene,Lrp1,low density lipoprotein receptor-related protein 1
5,105263633,105287452,50.68,-,MGI:97072,protein coding gene,Gbp4,guanylate binding protein 4
2,14234225,14336834,10.46,+,MGI:97142,protein coding gene,Mrc1,"mannose receptor, C type 1"
11,78811613,78851052,46.74,+,MGI:97361,protein coding gene,Nos2,"nitric oxide synthase 2, inducible"
8,23118142,23143451,11.42,-,MGI:97740,protein coding gene,Polb,"polymerase (DNA directed), beta"
1,185095241,185160557,89.5,+,MGI:97838,protein coding gene,Eprs1,glutamyl-prolyl-tRNA synthetase 1
17,66801507,66826712,37.88,-,MGI:894284,protein coding gene,Rab12,"RAB12, member RAS oncogene family"
2,142460260,142743535,70.67,-,MGI:1098240,protein coding gene,Kif16b,kinesin family member 16B
6,72521374,72539966,32.27,+,MGI:1098259,protein coding gene,Capg,"capping actin protein, gelsolin like"
6,85311944,85351616,37.35,-,MGI:1098586,protein coding gene,Rab11fip5,RAB11 family interacting protein 5 (class I)
12,108520979,108654775,59.46,+,MGI:1194884,protein coding gene,Evl,Ena-vasodilator stimulated phosphoprotein
X,139440277,139501257,61.35,-,MGI:1196284,protein coding gene,Tsc22d3,"TSC22 domain family, member 3"
5,105160379,105201475,50.68,-,MGI:1923324,protein coding gene,Gbp8,guanylate-binding protein 8
14,51361365,51369644,26.39,+,MGI:1925666,protein coding gene,Rnase6,"ribonuclease, RNase A family, 6"
17,33904666,33937644,17.98,-,MGI:1925915,protein coding gene,Marchf2,membrane associated ring-CH-type finger 2
1,162398084,162426651,70.29,+,MGI:1858730,protein coding gene,Vamp4,vesicle-associated membrane protein 4
11,5777860,5788016,3.87,-,MGI:1860191,protein coding gene,Polm,"polymerase (DNA directed), mu"
19,46140948,46274949,38.75,+,MGI:1861607,protein coding gene,Gbf1,golgi-specific brefeldin A-resistance factor 1
11,67857237,68097974,41.2,+,MGI:1890156,protein coding gene,Stx8,syntaxin 8
9,88331417,88364645,47.24,-,MGI:1891690,protein coding gene,Syncrip,"synaptotagmin binding, cytoplasmic RNA interacting protein"
19,5967584,5974844,4.34,-,MGI:1929744,protein coding gene,Cdc42ep2,CDC42 effector protein 2
11,113617676,113642707,79.22,-,MGI:1929760,protein coding gene,Cdc42ep4,CDC42 effector protein 4
11,78248403,78277384,46.74,-,MGI:102949,protein coding gene,Foxn1,forkhead box N1
6,42326564,42337147,20.64,+,MGI:103072,protein coding gene,Zyx,zyxin
19,47568458,47633685,39.77,+,MGI:103241,protein coding gene,Slk,STE20-like kinase
1,90885855,90897383,45.84,-,MGI:104640,protein coding gene,Rab17,"RAB17, member RAS oncogene family"
14,51432781,51436400,26.42,-,MGI:104984,protein coding gene,Ang2,"angiogenin, ribonuclease A family, member 2"
11,75541330,75564736,45.92,+,MGI:106612,protein coding gene,Myo1c,myosin IC
2,152414664,152416864,75.31,+,MGI:2684967,protein coding gene,Defb21,defensin beta 21
3,90995444,90998110,40.14,-,MGI:2684973,protein coding gene,S100a7l2,S100 calcium binding protein A7 like 2
1,125320642,125363464,54.7,-,MGI:1921367,protein coding gene,Actr3,ARP3 actin-related protein 3
4,151131762,151142410,81.53,-,MGI:1321389,protein coding gene,Vamp3,vesicle-associated membrane protein 3
4,41092724,41098183,20.94,-,MGI:1333777,protein coding gene,Aqp3,aquaporin 3
12,108758899,108786074,59.58,+,MGI:99150,protein coding gene,Yy1,YY1 transcription factor
8,11503518,11528710,5.73,-,MGI:102789,protein coding gene,Rab20,"RAB20, member RAS oncogene family"
9,108731239,108742117,59.63,+,MGI:2159728,protein coding gene,Slc26a6,"solute carrier family 26, member 6"
12,104654001,104718211,54.83,-,MGI:2177178,protein coding gene,Dicer1,"dicer 1, ribonuclease type III"
17,34128388,34134564,17.98,+,MGI:1197015,protein coding gene,Daxx,Fas death domain-associated protein
14,,,,,MGI:1201793,protein coding gene,Ang3,"angiogenin, ribonuclease A family, member 3"
10,81018839,81029031,39.72,+,MGI:1203520,protein coding gene,Dapk3,death-associated protein kinase 3
11,86389697,86435631,51.82,-,MGI:1270849,protein coding gene,Rps6kb1,"ribosomal protein S6 kinase, polypeptide 1"
5,90933960,90935952,44.78,+,MGI:3037818,protein coding gene,Cxcl3,C-X-C motif chemokine ligand 3
2,152327586,152332058,75.13,-,MGI:3045368,protein coding gene,Defb22,defensin beta 22
2,13579122,13587637,10.04,+,MGI:98932,protein coding gene,Vim,vimentin
10,5589218,5597617,1.97,+,MGI:98933,protein coding gene,Vip,vasoactive intestinal polypeptide
3,108700496,108747818,47.73,-,MGI:107362,protein coding gene,Stxbp3,syntaxin binding protein 3
18,15522553,15544039,8.74,-,MGI:107387,protein coding gene,Aqp4,aquaporin 4
1,75006505,75101870,38.56,-,MGI:1922820,protein coding gene,Nhej1,non-homologous end joining factor 1
14,63284445,63286052,33.24,+,MGI:3033850,protein coding gene,Defb42,defensin beta 42
5,105224332,105258255,50.68,-,MGI:3605620,protein coding gene,Gbp9,guanylate-binding protein 9
14,44194526,44200537,22.52,+,MGI:3528599,protein coding gene,Ang5,"angiogenin, ribonuclease A family, member 5"
14,44239121,44243875,22.52,-,MGI:3528602,protein coding gene,Ang6,"angiogenin, ribonuclease A family, member 6"
5,105418568,105441564,50.68,-,MGI:2140937,protein coding gene,Gbp6,guanylate binding protein 6
11,20012304,20062913,12.88,-,MGI:1913963,protein coding gene,Actr2,ARP2 actin-related protein 2
8,24927188,24928962,12.47,-,MGI:1916318,protein coding gene,Tcim,transcriptional and immune response regulator
13,60749761,60911005,32.53,+,MGI:1916885,protein coding gene,Dapk1,death associated protein kinase 1
6,87765835,87789146,39.13,-,MGI:1917084,protein coding gene,Rab43,"RAB43, member RAS oncogene family"
9,26919067,26941361,12.07,-,MGI:1917656,protein coding gene,Vps26b,VPS26 retromer complex component B
5,105362773,105441561,,-,MGI:5663439,protein coding gene,Gm43302,predicted gene 43302
5,105363565,105387399,50.68,-,MGI:4359647,protein coding gene,Gbp10,guanylate-binding protein 10
9,44893067,44898350,24.84,+,MGI:88331,protein coding gene,Cd3d,"CD3 antigen, delta polypeptide"
9,44880870,44891729,24.84,-,MGI:88333,protein coding gene,Cd3g,"CD3 antigen, gamma polypeptide"
6,71299772,71314476,32.14,+,MGI:88347,protein coding gene,Cd8b1,CD8 subunit beta 1
13,61081969,61084439,32.56,-,MGI:88554,protein coding gene,Ctla2a,cytotoxic T lymphocyte-associated protein 2 alpha
14,47391352,47426870,24.6,-,MGI:95675,protein coding gene,Gch1,GTP cyclohydrolase 1
9,107957635,107962202,59.07,+,MGI:96080,protein coding gene,Mst1,macrophage stimulating 1 (hepatocyte growth factor-like)
5,120649233,120672089,60.63,+,MGI:2180781,protein coding gene,Slc8b1,"solute carrier family 8 (sodium/lithium/calcium exchanger), member B1"
2,164031151,164032528,84.6,-,MGI:2183434,protein coding gene,Wfdc12,WAP four-disulfide core domain 12
2,152418006,152422232,75.31,-,MGI:2385955,protein coding gene,Defb19,defensin beta 19
1,192857812,192883854,97.62,-,MGI:2441706,protein coding gene,Traf3ip3,TRAF3 interacting protein 3
9,20779938,20785603,7.65,+,MGI:2441788,protein coding gene,Shfl,shiftless antiviral inhibitor of ribosomal frameshifting
11,116012672,116021954,80.91,-,MGI:2442815,protein coding gene,Trim65,tripartite motif-containing 65
2,164056374,164063580,84.72,-,MGI:2445041,protein coding gene,Wfdc15b,WAP four-disulfide core domain 15B
